feature,mean_abs_shap
early_payment_score,1.629242775402732
duration_of_dcp,1.2465241151928692
early_full_count,0.47584363455788325
payment_burden_ratio,0.33201006467685124
monthly_expenses_at_activation,0.28985592520428827
has_payday_debt_on_DCP_at_activation,0.2822468185378217
disposable_income,0.2290388902795872
expense_to_income,0.22808192755010961
DCP_debt_balance_at_activation,0.20248263734562869
monthly_income_at_activation,0.18627094066752325
early_missed_any,0.181932663251878
early_zero_count,0.16801507290357293
number_in_household_at_activation,0.1468167702976897
pmt_score_01,0.14633486058525721
pmt_score_03,0.13166060047586592
dependents_at_activation,0.11708412368460515
gender_at_activation_Female,0.11264977815730876
age_at_activation,0.11151276316442302
household_density,0.10714309275208012
dependents_flag,0.09090250560389897
