attribute,group,n,auc,completion_rate
gender_at_activation,Female,274,0.9341990397206461,0.4233576642335766
gender_at_activation,Male,190,0.9212474214294383,0.3526315789473684
age_group,<25,55,0.8991228070175439,0.34545454545454546
age_group,25-34,154,0.919762776905634,0.4090909090909091
age_group,35-44,106,0.9608303956130043,0.3490566037735849
age_group,45-54,92,0.9532163742690059,0.41304347826086957
age_group,55-64,38,0.9487179487179487,0.3157894736842105
age_group,65+,35,0.8933333333333334,0.5714285714285714
province_grouped,ON,396,0.9310828300258844,0.3838383838383838
